x	tac
33.1912	5.51319e-08
33.192	5.51321e-08
33.1928	5.51322e-08
33.1936	5.51323e-08
33.1944	5.51324e-08
33.1952	5.51325e-08
33.196	5.51326e-08
33.1968	5.51328e-08
33.1976	5.51329e-08
33.1984	5.5133e-08
33.1992	5.51331e-08
33.2	5.51332e-08
33.2008	4.86417e-08
33.2016	4.86418e-08
33.2024	4.86419e-08
33.2032	4.8642e-08
33.204	4.86421e-08
33.2048	4.86422e-08
33.2056	4.86423e-08
33.2064	4.86424e-08
33.2072	4.86425e-08
33.208	4.86426e-08
33.2088	4.86427e-08
33.2096	4.86428e-08
33.2104	4.86429e-08
33.2112	4.8643e-08
33.212	4.86431e-08
33.2128	4.86432e-08
33.2136	4.86433e-08
33.2144	4.86434e-08
33.2152	4.86435e-08
33.216	4.86436e-08
33.2168	4.86438e-08
33.2176	4.86439e-08
33.2184	4.8644e-08
33.2192	4.86441e-08
33.22	4.86442e-08
33.2208	4.86443e-08
33.2216	4.86444e-08
33.2224	4.86445e-08
33.2232	4.86446e-08
33.224	4.86447e-08
33.2248	4.86448e-08
33.2256	4.33136e-08
33.2264	4.33137e-08
33.2272	4.33137e-08
33.228	4.33138e-08
33.2288	4.33139e-08
33.2296	4.3314e-08
33.2304	4.33141e-08
33.2312	4.33142e-08
33.232	4.33143e-08
33.2328	4.33144e-08
33.2336	4.33145e-08
33.2344	4.33146e-08
33.2352	4.33147e-08
33.236	4.33147e-08
33.2368	4.33148e-08
33.2376	4.33149e-08
33.2384	4.3315e-08
33.2392	4.33151e-08
33.24	4.33152e-08
33.2408	4.33153e-08
33.2416	4.33154e-08
33.2424	4.33155e-08
33.2432	4.33156e-08
33.244	4.33157e-08
33.2448	4.33158e-08
33.2456	4.33158e-08
33.2464	4.33159e-08
33.2472	4.3316e-08
33.248	4.33161e-08
33.2488	4.33162e-08
33.2496	4.33163e-08
33.2504	4.33164e-08
33.2512	3.88758e-08
33.252	3.88759e-08
33.2528	3.8876e-08
33.2536	3.8876e-08
33.2544	3.88761e-08
33.2552	3.88762e-08
33.256	3.88763e-08
33.2568	3.88764e-08
33.2576	3.88764e-08
33.2584	3.88765e-08
33.2592	3.88766e-08
33.26	3.88767e-08
33.2608	3.88768e-08
33.2616	3.88769e-08
33.2624	3.88769e-08
33.2632	3.8877e-08
33.264	3.88771e-08
33.2648	3.88772e-08
33.2656	3.88773e-08
33.2664	3.88773e-08
33.2672	3.88774e-08
33.268	3.88775e-08
33.2688	3.88776e-08
33.2696	3.88777e-08
33.2704	3.88778e-08
33.2712	3.88778e-08
33.272	3.88779e-08
33.2728	3.8878e-08
33.2736	3.88781e-08
33.2744	3.88782e-08
33.2752	3.88782e-08
33.276	3.88783e-08
33.2768	3.51342e-08
33.2776	3.51343e-08
